                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.79688,                0.41684,                0.87972,                 0.9669,                0.97166,                0.98601,                0.54124,                 1.6179,                0.56401,                 1.2098,              0.0010892,              0.0010892,              0.0010892
                     48,                0.79756,                 0.4182,                0.87573,                0.96421,                0.97976,                0.99183,                0.54546,                 1.5971,                0.58327,                 1.1907,              0.0010694,              0.0010694,              0.0010694
                     49,                0.78395,                0.41446,                0.87528,                0.96537,                0.95936,                0.99009,                0.54591,                  1.582,                0.57116,                 1.2024,              0.0010496,              0.0010496,              0.0010496
                     50,                0.77847,                0.41144,                0.87252,                0.96999,                0.98129,                0.99249,                0.55994,                 1.5874,                0.56658,                 1.1957,              0.0010298,              0.0010298,              0.0010298
                     51,                0.79415,                 0.4175,                0.87718,                 0.9613,                0.97166,                0.98998,                0.55141,                 1.6003,                0.56037,                 1.2001,                0.00101,                0.00101,                0.00101
                     52,                0.78444,                0.41307,                0.87696,                 0.9537,                0.97571,                0.99013,                 0.5439,                 1.6081,                0.55921,                 1.2062,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.7661,                0.40408,                 0.8691,                0.97556,                0.96948,                0.99225,                 0.5582,                 1.5863,                0.54941,                 1.1846,              0.0009704,              0.0009704,              0.0009704
                     54,                0.78571,                 0.4099,                0.87411,                 0.9512,                0.98641,                0.98887,                0.55478,                 1.5895,                0.57265,                 1.1986,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76757,                0.40601,                0.87328,                0.96517,                0.95358,                0.98445,                0.55142,                 1.6226,                0.55906,                 1.2191,              0.0009308,              0.0009308,              0.0009308
                     56,                0.75932,                0.40416,                0.86921,                0.94894,                0.97773,                0.98949,                0.54438,                 1.6075,                0.58103,                 1.2012,               0.000911,               0.000911,               0.000911
                      1,                 1.8115,                 1.6351,                 1.1771,                0.87887,                0.80769,                0.88562,                0.41036,                 1.6418,                 1.9284,                 1.1774,             0.00066077,             0.00066077,             0.00066077
                      2,                  1.555,                 0.9646,                 1.0756,                0.90304,                0.90494,                0.94517,                0.41522,                 1.8273,                 1.4643,                 1.3946,              0.0013143,              0.0013143,              0.0013143
                      3,                 1.4988,                0.85466,                 1.0605,                0.90351,                0.91296,                0.94453,                0.43118,                 1.8891,                 0.9291,                 1.3564,              0.0019546,              0.0019546,              0.0019546
                      4,                   1.45,                0.78472,                 1.0493,                0.88457,                0.89969,                0.90164,                0.36873,                 2.0003,                0.93581,                 1.4567,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3838,                0.72335,                 1.0315,                0.68047,                0.68543,                 0.6537,                0.31973,                 1.7586,                 1.4083,                  1.286,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.373,                0.69904,                 1.0216,                0.81507,                0.84818,                0.88723,                 0.3757,                   2.06,                0.96485,                  1.467,               0.001901,               0.001901,               0.001901
                      7,                 1.3397,                0.68031,                 1.0138,                0.88308,                0.90204,                 0.9359,                0.43323,                    1.9,                0.87413,                 1.3595,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3034,                0.65388,                0.99994,                0.90434,                0.91858,                0.96051,                0.50261,                  1.717,                0.74622,                 1.2557,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.2801,                0.64147,                 1.0015,                0.93985,                0.92105,                0.96044,                0.50603,                 1.6434,                0.77853,                 1.2346,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.2496,                0.62463,                0.98359,                0.94929,                0.93522,                0.97749,                0.48039,                 1.7502,                0.68537,                   1.28,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.232,                0.61816,                0.98354,                0.93411,                0.91829,                0.96186,                 0.4874,                 1.7299,                0.75784,                 1.2436,               0.001802,               0.001802,               0.001802
                     12,                 1.1989,                0.59974,                0.97103,                0.93247,                0.92248,                0.96432,                0.45981,                 1.8675,                0.72265,                 1.3336,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.2045,                0.59495,                0.96885,                0.93094,                0.92772,                0.97117,                0.48903,                 1.7419,                0.74646,                 1.2688,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.1751,                0.58385,                0.96023,                0.93483,                0.90014,                0.96268,                0.46468,                 1.8427,                0.71511,                 1.2991,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.1402,                0.57307,                0.95501,                0.95847,                0.95142,                0.98455,                0.52164,                 1.6623,                0.68652,                  1.219,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.1234,                 0.5628,                0.94963,                0.94272,                0.91903,                0.96873,                0.51307,                  1.695,                0.67209,                 1.2385,               0.001703,               0.001703,               0.001703
                     17,                 1.0991,                 0.5504,                0.94462,                0.95755,                0.90688,                 0.9754,                0.51299,                 1.6993,                0.72186,                 1.2647,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.0862,                0.54286,                0.94036,                0.92809,                0.88664,                0.94901,                0.46748,                 1.7781,                0.83732,                 1.2676,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.0934,                0.54277,                 0.9404,                0.93093,                0.95487,                0.97181,                0.51603,                 1.6506,                0.67726,                 1.2274,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.0542,                0.52866,                0.93598,                 0.9459,                0.95559,                 0.9728,                0.48624,                 1.8005,                0.68308,                 1.3026,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.0378,                0.52505,                0.92645,                 0.9503,                 0.9332,                0.98051,                0.52424,                 1.6508,                0.67414,                 1.2256,               0.001604,               0.001604,               0.001604
                     22,                 1.0341,                0.52079,                0.92494,                0.94841,                0.95344,                0.97901,                0.51431,                 1.6973,                0.65715,                 1.2586,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.0122,                0.50974,                0.91965,                0.94602,                0.96964,                0.98161,                0.53139,                  1.664,                0.61697,                 1.2253,              0.0015644,              0.0015644,              0.0015644
